Reference_type,access_date,alternate_title,author,date,edition,externalBibCode,internal_taxon_id,isbnissn,keywords,number,number_of_volumes,pages,place_published,publisher,secondary_author,secondary_title,section,short_title,submission_type,title,type,url,volume,year
Assessment,,,"Rödel, M.-O.",,,,54700,,,9,,108-113,"Abidjan, Cote d'Ivoire","Etat des recherches en cours dans le Parc National de Taï (PNT), Sempervira","Girardin, O., Kone, I. and Tano, Y.","Rapport de Centre Suisse de la Recherche Scientifique, Abidjan",,,,"Les communautes d'amphibiens dans le Parc National de Tai, Cote d'Ivoire. Les anoures comme bio-indicateurs de l 'etat des habitats",Journal Article,,,2000
Assessment,,"","Herrmann, H.-W., Böhme, W., Herrmann, P.A., Plath, M., Schmitz, A. and Solbach, M.","","",,54700,"","",1/2,"",61-81,"","","",Salamandra,"","",Published,"African Biodiversity Hotspots: the amphibians of Mt. Nlonako, Cameroon",journal article,"",41,2005
Assessment,,"","Largen, M.J.","","",,54700,"","","","",307-402,"","","",Tropical Zoology,"","",Published,"Catalogue of the amphibians of Ethiopia, including a key for their identification",journal article,"",14,2001
Assessment,,"","Poynton, J.C.","","",,54700,"","","","",117-126,"","","",Systematics and Biodiversity,"","",Published,Altitudinal species turnover in southern Tanzania shown by anurans: some zoogeographical considerations,journal article,"",1,2003
Assessment,,"","Stevens, R.A.","","",,54700,"","","","",1-22,"","","",Arnoldia Rhodesia,"","",Published,An annotated checklist of the amphibians and reptiles known to occur in south-eastern Malawi,journal article,"",6,1974
Assessment,,"","Laurent, R.F.","","",,54700,"","","","",1-125,"","","","Exploration du Parc National des Virunga, 2e Ser.","","",Published,Amphibiens,journal article,"",22,1972
Assessment,,"","Drewes, R.C. and Vindum, J.V.","","",,54700,"","","","",55-70,"","","",Journal of African Zoology,"","",Published,"Amphibians of the Impenetrable Forest, Southwest Uganda",journal article,"",108,1994
Assessment,,"","Burger, M., Branch, W.R. and Channing, A.","","",,54700,"","","","",145-186,"","","",California Academy of Sciences Memoir,"","",Published,"Amphibians and reptiles of Monts Doudou, Gabon: species turnover along an elevational gradient",journal article,"",28,2004
Assessment,,"","Perret, J.-L.","","",,54700,"","","","",289-464,"","","",Zoologische Jahrbuecher fuer Systematik,"","",Published,Les Amphibiens du Cameroun,journal article,"",8,1966
Assessment,,"","Pickersgill, M.","","",,54700,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Frog Search. Results of Expeditions to Southern and Eastern Africa.,book,"","",2007
Assessment,,"","Lanza, B.","","",,76317591,"","","","",151-186,"","","",Monitore Zoologico Italiano N.S. Supplemento,"","",Published,A Checklist of the Somali amphibians,journal article,"",10,1981
Assessment,,,"Walker, R.B.",,,,76317591,,,1968,,164-167,,,,Copeia,,,,"The amphibians of Zaria, in the northern Guinea Savannah, Nigeria",Journal Article,,,1968
Assessment,,,"Lambiris, A.J.L.",,,,76317591,,,,,1-210,,,,Lammergeyer,,,Published,A review of the amphibians of Natal,journal article,,39,1989
Assessment,,,"Amiet, J.-L.",,,,76317591,,,12,,63-78,,,,Ann. Fac. Sci. Yaounde,,,,Compte rendu d'une mission batrachologique dans le Nord-Cameroun,Journal Article,,,1972
Assessment,,,"Schiøtz, A.",,,,76317591,,,,,1-346,,,,Spolia Zoologica Musei Hauniensi,,,Published,The treefrogs (Rhacophoridae) of West Africa,journal article,,25,1967
Assessment,,,"Rödel, M.-O.",,,,76317591,,,,,,Frankfurt am Main,Edition Chimaira,,,,,,Herpetofauna of the West Africa. Volume 1. Amphibians of the West African Savannas,Book,,,2000
Assessment,,,"Channing, A. and Howell, K.M.",,,,76317591,,,,,,Frankfurt am Main,Edition Chimaira,,,,,,Amphibians of East Africa,Book,,,2006
Assessment,,,"Channing, A.",,,,76317591,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Stewart, M.M.",,,,76317591,,,,,,Albany,State University of New York Press,,,,,,Amphibians of Malawi,Book,,,1967
Assessment,,"","Lambiris, A.J.L.","","",,76317591,"","","","",1-247,"","","","Mus. Reg. Sci. Nat. Torino, Monografia","","",Published,The frogs of Zimbabwe,journal article,"",10,1989
Assessment,,"","Broadley, D.G.","","",,76317591,"","","","",1-143,"","","",Puku,"","",Published,The reptiles and amphibians of Zambia,journal article,"",6,1971
Assessment,,,"Poynton, J.C.",,,,76317591,,,,,1-334,,,,Annals of the Natal Museum,,,Published,The amphibia of southern Africa: a faunal study,journal article,,17,1964
Assessment,,,"Böhme, W.",,,,76317591,,,26,,2-48,,,,Bonner Zoologische Beiträege,,,,"Zur Herpetofaunistik Kameruns, mit Beschreibung eines neuen Scinciden",Journal Article,,,1975
Assessment,,"","Schiøtz, A.","","",,76317591,"","","","",1-92,"","","",Videnskabelige Meddelelser fra Dansk Naturhistorisk Forening,"","",Published,The amphibians of Nigeria,journal article,"",125,1963
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,76317591,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,76317591,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Wager, V.A.",,,,76317591,,,,,,Craighall,Delta Books,,,,,,"Frogs of South Africa, 2nd edition",Book,,,1986
Assessment,,"","Poynton, J.C.","","",,76317591,"","","","",13-34,"","","",Memoirs de Instituto de Investigação Científica de Moçambique Ser. A. Ciencas B,"","",Published,Amphibia of northern Mozambique,journal article,"",8,1966
Assessment,,"","Poynton, J.C. and Broadley, D.G.","","",,76317591,"","","","",115-181,"","","",Annals of the Natal Museum,"","",Published,Amphibia Zambesiaca. 2. Ranidae,journal article,"",27,1985
Assessment,,,"Barnett, L.K., Emms, C. and Santoni, C.",,,,76317591,,,77,,5-14,,,,Herpetological Bulletin,,,,"The herpetofauna of Abuko Nature Reserve, The Gambia",Journal Article,,,2001
Assessment,,,"Herrmann, H.-J. and Kabisch, K.",,,,76317591,,,13(73),,13-17.,,,,Herpetofauna,,,,"Haltung und Zucht des Grunen Grabfrosches, Pycicephalus adspersus Tschudi, 1938",Journal Article,,,1991
Assessment,,,"Poynton, J.C.",,,,76317591,,,152,,451-473,,,,Bull. Mus. Comp. Zool.,,,,"Amphibians of southeastern Tanzania, with special reference to <i>Stephopaedes</i> and <i>Mertensophryne</i> (Bufonidae)",Journal Article,,,1991
Assessment,,,"Böhme, W., Wilms, T., Nickel, H.and Merz, M.",,,,76317591,,,44,,117-131,,,,Zeitschrift des Kölner Zoo,,,,Bericht über eine herpetologische Forschungsreise in die westliche Sahara und ihre Randgebiete,Journal Article,,,2001
Assessment,,,"Channing, A., Passmore, N.I. and du Preez, L.",,,,76317591,,,234,,141-148,,,,Journal of Zoology,,,,"Status, vocalizations and breeding of two species of African bullfrogs",Journal Article,,,1994
Assessment,,,"Walker, B.",,,,76317591,,,31,,177-180,,,,Nigerian Field,,,,"An uncommon frog, Pyxicephalus adspersus",Journal Article,,,1966
Assessment,,,"Parry, C.R.",,,,76317591,,,25,,281-292,,,,Annals of the Natal Museum,,,,A revision of southern African Pyxicephalus Tschudi (Anura: Ranidae),Journal Article,,,1982
Assessment,,,"Jacobsen, N.H.G.",,,,76317591,,,,,,,"Unpublished PhD thesis, University of Natal, Durban",,,,,,A herpetological survey of the Transvaal,Book,,,1989
Assessment,,"","Poynton, J.C.","","",,76317591,"","","","",193-225,"","","",Senckenbergiana Biologica,"","",Published,Amphibia of the Nyasa-Luangwa region of Africa,journal article,"",45,1964
Assessment,,"","Scott, E., Visser, J.D., Yetman, C.A., Oliver, L. and Broadley, D.G.","","",,76317591,"","",3,"",201-228,"","","",Zootaxa,"","",Published,"Revalidation of <i>Pyxicephalus angusticeps</i> Parry, 1982 (Anura: Natatanura: Pyxicephalidae), a bullfrog endemic to the lowlands of eastern Africa",journal article,"",3599,2013
Assessment,,"","Lanza, B.","","",,76317591,"","","","",407-465,"","","",Biogeographica,"","",Published,Amphibians and reptiles of the Somali Democratic Republic: checklist and biogeography,journal article,"",14,1990
Assessment,,"","Poynton, J.C.","","",,76317591,"","","","",117-126,"","","",Systematics and Biodiversity,"","",Published,Altitudinal species turnover in southern Tanzania shown by anurans: some zoogeographical considerations,journal article,"",1,2003
Assessment,,"","Perret, J.-L.","","",,76317591,"","","","",289-464,"","","",Zoologische Jahrbuecher fuer Systematik,"","",Published,Les Amphibiens du Cameroun,journal article,"",8,1966
Assessment,,"","Pickersgill, M.","","",,76317591,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Frog Search. Results of Expeditions to Southern and Eastern Africa.,book,"","",2007
Assessment,,"","Lanza, B.","","",,58490,"","","","",151-186,"","","",Monitore Zoologico Italiano N.S. Supplemento,"","",Published,A Checklist of the Somali amphibians,journal article,"",10,1981
Assessment,,"","Schmidt, K.P. and Inger, R.F.","","",,58490,"","","","",1-264,"","","",Exploration du Parc National de l'Upemba,"","",Published,Amphibians,journal article,"",56,1959
Assessment,,,"Lötters, S., Wagner, P., Bwong, B.A., Schick, S., Malonza, P.K., Muchai, V., Wasonga, D.V. and Veith, M.",,,,58490,,,,,,Nairobi and Mainz,National Museums of Kanya and University of Mainz,,,,,,A Fieldguide to the Amphibians and Reptiles of the Kakamega Forest,Book,,,2007
Assessment,,,"Channing, A. and Howell, K.M.",,,,58490,,,,,,Frankfurt am Main,Edition Chimaira,,,,,,Amphibians of East Africa,Book,,,2006
Assessment,,,"Harper, E. and Vonesh, J.R.",,,,58490,,,,,,,http://www.zoo.ufl.edu/voneshjr/Harper%20&%20Vonesh%20-%20Amphibian%20Guide.pdf,,,,,,Field Guide to the Amphibians of the East Usambara Mountains. Preliminary Draft,Book,,,2003
Assessment,,,"Channing, A.",,,,58490,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Stewart, M.M.",,,,58490,,,,,,Albany,State University of New York Press,,,,,,Amphibians of Malawi,Book,,,1967
Assessment,,"","Lambiris, A.J.L.","","",,58490,"","","","",1-247,"","","","Mus. Reg. Sci. Nat. Torino, Monografia","","",Published,The frogs of Zimbabwe,journal article,"",10,1989
Assessment,,"","Broadley, D.G.","","",,58490,"","","","",1-143,"","","",Puku,"","",Published,The reptiles and amphibians of Zambia,journal article,"",6,1971
Assessment,,,"Poynton, J.C.",,,,58490,,,,,1-334,,,,Annals of the Natal Museum,,,Published,The amphibia of southern Africa: a faunal study,journal article,,17,1964
Assessment,,"","Channing, A. and Griffin, M.","","",,58490,"","","","",101-116,"","","",Madoqua,"","",Published,An annotated checklist of the frogs of Namibia,journal article,"",18,1993
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,58490,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,"","Largen, M.J. and Dowsett-Lemaire, F.","","",,58490,"","","","",145-168,"","","",Tauraco Research Report,"","",Published,"Amphibians (Anura) from the Kouilou River basin, Republique du Congo",journal article,"",4,1991
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,58490,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Wager, V.A.",,,,58490,,,,,,Craighall,Delta Books,,,,,,"Frogs of South Africa, 2nd edition",Book,,,1986
Assessment,,"","Poynton, J.C.","","",,58490,"","","","",13-34,"","","",Memoirs de Instituto de Investigação Científica de Moçambique Ser. A. Ciencas B,"","",Published,Amphibia of northern Mozambique,journal article,"",8,1966
Assessment,,"","Poynton, J.C. and Broadley, D.G.","","",,58490,"","","","",115-181,"","","",Annals of the Natal Museum,"","",Published,Amphibia Zambesiaca. 2. Ranidae,journal article,"",27,1985
Assessment,,"","Channing, A., Sinclair, A.R.E., Mduma, S.A.R., Moyer, D. and Kreulen, D.A.","","",,58490,"","",2,"",163-181,"","","",African Journal of Herpetology,"","",Published,Serengeti amphibians: Distribution and Monitoring baseline,journal article,"",53,2004
Assessment,,"","Largen, M.J.","","",,58490,"","","","",63-115,"","","",Tropical Zoology,"","",Published,"An annotated checklist of the amphibians and reptiles of Eritrea, with keys for their identification",journal article,"",10,1997
Assessment,,"","Poynton, J.C.","","",,58490,"","","","",193-225,"","","",Senckenbergiana Biologica,"","",Published,Amphibia of the Nyasa-Luangwa region of Africa,journal article,"",45,1964
Assessment,,"","Largen, M.J.","","",,58490,"","","","",307-402,"","","",Tropical Zoology,"","",Published,"Catalogue of the amphibians of Ethiopia, including a key for their identification",journal article,"",14,2001
Assessment,,"","Largen, M.J.","","",,58490,"","","","",223-246,"","","",Tropical Zoology,"","",Published,"Two new species of <i>Ptychadena</i> Boulenger 1917 (Amphibia, Anura, Ranidae) from Ethiopia, with observations on other members of the genus recorded from this country and a tentative key for their identification",journal article,"",10,1997
Assessment,,"","Lanza, B.","","",,58490,"","","","",407-465,"","","",Biogeographica,"","",Published,Amphibians and reptiles of the Somali Democratic Republic: checklist and biogeography,journal article,"",14,1990
Assessment,,"","Lötters, S., Rotich, D., Koester, T.E., Kosuch, J., Muchai, V., Scheelke, K., Schick, S., Teege, P., Wasonga, V.D. and Veith, M.","","",,58490,"","",2/3,"",165-179,"","","",Salamandra,"","",Published,What do we know about the amphibians from the Kenyan central and western highlands? A faunistic and taxonomic review,journal article,"",42,2006
Assessment,,"","Poynton, J.C.","","",,58490,"","","","",117-126,"","","",Systematics and Biodiversity,"","",Published,Altitudinal species turnover in southern Tanzania shown by anurans: some zoogeographical considerations,journal article,"",1,2003
Assessment,,"","Ruas, C.","","",,58490,"","","","",19-41,"","","",Garcia de Orta. Ser. Zool. (Lisboa),"","",Published,Contribuicao para o conhecimento da fauna de batraquios de Angola,journal article,"",21,1996
Assessment,,"","Stevens, R.A.","","",,58490,"","","","",1-22,"","","",Arnoldia Rhodesia,"","",Published,An annotated checklist of the amphibians and reptiles known to occur in south-eastern Malawi,journal article,"",6,1974
Assessment,,"","Schätti, B.","","",,58490,"","","","",905-937,"","","",Rev. Suisse Zool.,"","",Published,Amphibien und Reptilien aus der Arabischen Republik Jemen und Djibouti,journal article,"",96,1989
Assessment,,"","Perret, J.-L.","","",,58490,"","",6,"",15-34,"","","",Arquivos do Museo Bocage,"","",Published,Revision des amphibiens africains et principalement des types conserves au Musee Bocage de Lisbonne,journal article,"",2,1976
Assessment,,"","Perret, J.-L.","","",,58490,"","","","",5-21,"","","",Bulletin de la Societe Neuchateloise des Sciences Naturelles,"","",Published,"Remarques et mise au point sur quelques especes de <i>Ptychadena</i> (Amphibia, Ranidae)",journal article,"",102,1979
Assessment,,"","Poynton, J.C.","","",,58490,"","","","",365-375,"","","",Annals of the Natal Museum,"","",Published,Guide to the <i>Ptychadena</i> (Amphibia:Ranidae) of the southern third of Africa,journal article,"",20,1970
Assessment,,"","Passmore, N.I.","","",,58490,"","","","","","","University of Witwatersrand, Johannesburg","",Unpublished PhD thesis,"","",Published,Vocalizations and aspects of the reproductive behaviour of the genus <i>Ptychadena</i> in South Africa,thesis,"","",1978
Assessment,,"","Pickersgill, M.","","",,58490,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Frog Search. Results of Expeditions to Southern and Eastern Africa.,book,"","",2007
Taxonomy,,"","Frost, D.R.","","",,596,"","","","","","American Museum of Natural History, New York, USA.",American Museum of Natural History,"","","","",Published,Amphibian Species of the World: an Online Reference. Version 5.6 (9 January 2013). Electronic Database,electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2013
Taxonomy,,"","Frost, D.R.","","",,1301,"","","","","","New York, USA.",American Museum of Natural History,"","","","","",Amphibian Species of the World: an Online Reference. Version 6.0 (31 March 2016),electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2016
Taxonomy,,"","Frost, D.R.","","",,3069,"","","","","","New York, USA.",American Museum of Natural History,"","","","","",Amphibian Species of the World: an Online Reference. Version 6.0 (31 March 2016),electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2016
Taxonomy,,"","Frost, D.R.","","",,3070,"","","","","","New York, USA.",American Museum of Natural History,"","","","","",Amphibian Species of the World: an Online Reference. Version 6.0 (31 March 2016),electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2016
Taxonomy,,"","Frost, D.R.","","",,3176,"","","","","","New York, USA.",American Museum of Natural History,"","","","","",Amphibian Species of the World: an Online Reference. Version 6.0 (31 March 2016),electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2016
Taxonomy,,"","Frost, D.R.","","",,3441,"","","","","","New York, USA.",American Museum of Natural History,"","","","","",Amphibian Species of the World: an Online Reference. Version 6.0 (31 March 2016),electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2016
Taxonomy,,"","Frost, D.R.","","",,3442,"","","","","","New York, USA.",American Museum of Natural History,"","","","","",Amphibian Species of the World: an Online Reference. Version 6.0,electronic source,http://research.amnh.org/herpetology/amphibia/index.html,2015,2015
Taxonomy,,"","Frost, D.R.","","",,3776,"","",27 January 2014,"","","New York, USA. ","American Museum of Natural History, New York, USA.","","","","",Published,Amphibian Species of the World: an Online Reference. Version 6 (27 January 2014),electronic source,http://research.amnh.org/herpetology/amphibia/index.html,2014,2014
Taxonomy,,"","Frost, D.R.","","",,9772,"","","","","","New York, USA.",American Museum of Natural History,"","","","","",Amphibian Species of the World: an Online Reference. Version 6.0 (31 March 2016),electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2016
Taxonomy,,"","Frost, D.R.","","",,9773,"","","","","","New York, USA.",American Museum of Natural History,"","","","","",Amphibian Species of the World: an Online Reference. Version 6.0 (31 March 2016),electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2016
Taxonomy,,"","Frost, D.R.","","",,10644,"","","","","","New York, USA.",American Museum of Natural History,"","","","","",Amphibian Species of the World: an Online Reference. Version 6.0 (31 March 2016),electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2016
Taxonomy,,"","Frost, D.R.","","",,11700,"","","","","","New York, USA.",American Museum of Natural History,"","","","","",Amphibian Species of the World: an Online Reference. Version 6.0 (31 March 2016),electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2016
Taxonomy,,"","Frost, D.R.","","",,13318,"","","","","","New York, USA.",American Museum of Natural History,"","","","","",Amphibian Species of the World: an Online Reference. Version 6.0 (31 March 2016),electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2016
Taxonomy,,"","Frost, D.R.","","",,23124,"","","","","","New York, USA.",American Museum of Natural History,"","","","","",Amphibian Species of the World: an Online Reference. Version 6.0 (31 March 2016),electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2016
Taxonomy,,"","Frost, D.R.","","",,54359,"","","","","","New York, USA.",American Museum of Natural History,"","","","","",Amphibian Species of the World: an Online Reference. Version 6.0 (31 March 2016),electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2016
Taxonomy,,"","Frost, D.R.","","",,54573,"","","","","","American Museum of Natural History, New York, USA.",American Museum of Natural History,"","","","",Published,Amphibian Species of the World: an Online Reference. Version 5.6 (9 January 2013). Electronic Database,electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2013
Taxonomy,,"","Frost, D.R.","","",,54636,"","","","","","American Museum of Natural History, New York, USA.",American Museum of Natural History,"","","","",Published,Amphibian Species of the World: an Online Reference. Version 5.6 (9 January 2013). Electronic Database,electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2013
Taxonomy,,"","Frost, D.R.","","",,54648,"","","","","","American Museum of Natural History, New York, USA.",American Museum of Natural History,"","","","",Published,Amphibian Species of the World: an Online Reference. Version 5.6 (9 January 2013). Electronic Database,electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2013
Taxonomy,,"","Frost, D.R.","","",,54649,"","","","","","American Museum of Natural History, New York, USA.",American Museum of Natural History,"","","","",Published,Amphibian Species of the World: an Online Reference. Version 5.6 (9 January 2013). Electronic Database,electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2013
Taxonomy,,"","Frost, D.R.","","",,54723,"","","","","","New York, USA.",American Museum of Natural History,"","","","","",Amphibian Species of the World: an Online Reference. Version 6.0 (31 March 2016),electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2016
Taxonomy,,"","Frost, D.R.","","",,54748,"","","","","","American Museum of Natural History, New York, USA.",American Museum of Natural History,"","","","",Published,Amphibian Species of the World: an Online Reference. Version 5.6 (9 January 2013). Electronic Database,electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2013
Taxonomy,,"","Frost, D.R.","","",,54793,"","","","","","American Museum of Natural History, New York, USA.",American Museum of Natural History,"","","","",Published,Amphibian Species of the World: an Online Reference. Version 5.6 (9 January 2013). Electronic Database,electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2013
Taxonomy,,"","Frost, D.R.","","",,54885,"","","","","","American Museum of Natural History, New York, USA.",American Museum of Natural History,"","","","",Published,Amphibian Species of the World: an Online Reference. Version 5.6 (9 January 2013). Electronic Database,electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2013
Taxonomy,,"","Frost, D.R.","","",,55273,"","","","","","American Museum of Natural History, New York, USA.",American Museum of Natural History,"","","","",Published,Amphibian Species of the World: an Online Reference. Version 5.6 (9 January 2013). Electronic Database,electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2013
Taxonomy,,"","Frost, D.R.","","",,55274,"","","","","","American Museum of Natural History, New York, USA.",American Museum of Natural History,"","","","",Published,Amphibian Species of the World: an Online Reference. Version 5.6 (9 January 2013). Electronic Database,electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2013
Taxonomy,,"","Frost, D.R.","","",,55275,"","","","","","American Museum of Natural History, New York, USA.",American Museum of Natural History,"","","","",Published,Amphibian Species of the World: an Online Reference. Version 5.6 (9 January 2013). Electronic Database,electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2013
Taxonomy,,"","Frost, D.R.","","",,55276,"","","","","","American Museum of Natural History, New York, USA.",American Museum of Natural History,"","","","",Published,Amphibian Species of the World: an Online Reference. Version 5.6 (9 January 2013). Electronic Database,electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2013
Taxonomy,,"","Frost, D.R.","","",,55279,"","","","","","American Museum of Natural History, New York, USA.",American Museum of Natural History,"","","","",Published,Amphibian Species of the World: an Online Reference. Version 5.6 (9 January 2013). Electronic Database,electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2013
Taxonomy,,"","Frost, D.R.","","",,55280,"","",27 January 2014,"","","New York, USA. ","American Museum of Natural History, New York, USA.","","","","",Published,Amphibian Species of the World: an Online Reference. Version 6 (27 January 2014),electronic source,http://research.amnh.org/herpetology/amphibia/index.html,2014,2014
Taxonomy,,"","Frost, D.R.","","",,55281,"","","","","","American Museum of Natural History, New York, USA.",American Museum of Natural History,"","","","",Published,Amphibian Species of the World: an Online Reference. Version 5.6 (9 January 2013). Electronic Database,electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2013
Taxonomy,,"","Frost, D.R.","","",,56059,"","","","","","American Museum of Natural History, New York, USA.",American Museum of Natural History,"","","","",Published,Amphibian Species of the World: an Online Reference. Version 5.6 (9 January 2013). Electronic Database,electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2013
Taxonomy,,"","Frost, D.R.","","",,56063,"","","","","","American Museum of Natural History, New York, USA.",American Museum of Natural History,"","","","",Published,Amphibian Species of the World: an Online Reference. Version 5.6 (9 January 2013). Electronic Database,electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2013
Taxonomy,,"","Frost, D.R.","","",,56065,"","","","","","New York, USA.",American Museum of Natural History,"","","","","",Amphibian Species of the World: an Online Reference. Version 6.0 (31 March 2016),electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2016
Taxonomy,,"","Frost, D.R.","","",,56078,"","",27 January 2014,"","","New York, USA. ","American Museum of Natural History, New York, USA.","","","","",Published,Amphibian Species of the World: an Online Reference. Version 6 (27 January 2014),electronic source,http://research.amnh.org/herpetology/amphibia/index.html,2014,2014
Taxonomy,,"","Frost, D.R.","","",,56108,"","","","","","American Museum of Natural History, New York, USA.",American Museum of Natural History,"","","","",Published,Amphibian Species of the World: an Online Reference. Version 5.6 (9 January 2013). Electronic Database,electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2013
Taxonomy,,"","Frost, D.R.","","",,56112,"","","","","","American Museum of Natural History, New York, USA.",American Museum of Natural History,"","","","",Published,Amphibian Species of the World: an Online Reference. Version 5.6 (9 January 2013). Electronic Database,electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2013
Taxonomy,,"","Frost, D.R.","","",,56142,"","","","","","American Museum of Natural History, New York, USA.",American Museum of Natural History,"","","","",Published,Amphibian Species of the World: an Online Reference. Version 5.6 (9 January 2013). Electronic Database,electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2013
Taxonomy,,"","Frost, D.R.","","",,56189,"","","","","","American Museum of Natural History, New York, USA.",American Museum of Natural History,"","","","",Published,Amphibian Species of the World: an Online Reference. Version 5.6 (9 January 2013). Electronic Database,electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2013
Taxonomy,,"","Frost, D.R.","","",,56204,"","","","","","American Museum of Natural History, New York, USA.",American Museum of Natural History,"","","","",Published,Amphibian Species of the World: an Online Reference. Version 5.6 (9 January 2013). Electronic Database,electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2013
Taxonomy,,"","Frost, D.R.","","",,56217,"","","","","","American Museum of Natural History, New York, USA.",American Museum of Natural History,"","","","",Published,Amphibian Species of the World: an Online Reference. Version 5.6 (9 January 2013). Electronic Database,electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2013
Taxonomy,,"","Frost, D.R.","","",,56231,"","","","","","American Museum of Natural History, New York, USA.",American Museum of Natural History,"","","","",Published,Amphibian Species of the World: an Online Reference. Version 5.6 (9 January 2013). Electronic Database,electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2013
Taxonomy,,"","Frost, D.R.","","",,56236,"","","","","","American Museum of Natural History, New York, USA.",American Museum of Natural History,"","","","",Published,Amphibian Species of the World: an Online Reference. Version 5.6 (9 January 2013). Electronic Database,electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2013
Taxonomy,,"","Frost, D.R.","","",,56297,"","","","","","American Museum of Natural History, New York, USA.",American Museum of Natural History,"","","","",Published,Amphibian Species of the World: an Online Reference. Version 5.6 (9 January 2013). Electronic Database,electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2013
Taxonomy,,"","Frost, D.R.","","",,57713,"","","","","","New York, USA.",American Museum of Natural History,"","","","","",Amphibian Species of the World: an Online Reference. Version 6.0 (31 March 2016),electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2016
Taxonomy,,"","Frost, D.R.","","",,57716,"","","","","","American Museum of Natural History, New York, USA.",American Museum of Natural History,"","","","",Published,Amphibian Species of the World: an Online Reference. Version 5.6 (9 January 2013). Electronic Database,electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2013
Taxonomy,,"","Frost, D.R.","","",,57719,"","","","","","American Museum of Natural History, New York, USA.",American Museum of Natural History,"","","","",Published,Amphibian Species of the World: an Online Reference. Version 5.6 (9 January 2013). Electronic Database,electronic source,http://research.amnh.org/herpetology/amphibia/index.html,"",2013
